 ,Label,Area,Mean,StdDev,Min,Max,Perim.
97,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6589-3096,12.720,3.221,0.623,2.222,4.143,12.372
98,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6660-4321,46.365,3.484,0.503,2.409,4.786,26.866
99,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7811-2476,67.291,5.420,1.383,2.833,9.000,30.023
100,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8137-2536,4.924,3.271,0.410,2.300,3.778,7.622
101,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8324-2210,20.105,4.117,0.574,3.133,5.700,16.150
102,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8342-5682,15.592,2.464,0.708,1.500,4.273,14.183
103,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8371-4575,9.437,4.958,1.070,3.444,7.429,10.715
104,slice0005_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015444.268,1.053,0.113,0.000,11.750,23728.782
105,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2327-3212,12.720,3.221,0.409,2.182,4.125,17.432
106,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2537-4766,2.462,3.330,0.201,3.111,3.667,6.186
107,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2539-4766,0.410,2.818,0.000,2.818,2.818,2.562
108,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3162-4105,0.410,1.900,0.000,1.900,1.900,2.562
109,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3161-4102,8.206,2.867,0.358,2.182,3.625,10.340
110,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4033-3371,15.592,2.974,0.435,2.077,3.800,17.807
111,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4044-5633,13.540,3.578,0.379,3.000,4.429,13.277
112,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6247-2252,87.807,4.995,1.385,2.056,8.143,34.397
113,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6401-3857,32.004,3.456,0.521,2.316,4.833,22.025
114,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6658-4321,27.901,3.597,0.557,2.632,5.500,23.617
115,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7811-2476,67.702,5.320,1.279,3.000,8.300,30.023
116,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8138-2536,3.693,3.124,0.319,2.556,3.667,6.716
117,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8324-2211,13.951,4.264,0.495,3.429,5.600,13.277
118,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8343-5683,14.361,3.120,1.226,1.516,6.714,13.277
119,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8370-4575,8.617,4.939,0.969,3.300,6.500,10.185
120,slice0006_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015444.268,1.057,0.113,0.000,11.750,23728.782
121,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2326-3211,7.386,2.678,0.347,2.077,3.250,12.152
122,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3162-4103,8.206,2.795,0.290,2.400,3.375,12.527
123,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4035-3366,14.771,3.005,0.628,1.812,4.375,14.339
124,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4044-5634,11.489,3.432,0.504,2.727,4.833,12.902
125,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6247-2252,83.294,4.954,1.413,2.250,9.118,33.491
126,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6402-3857,30.773,3.974,0.830,2.273,6.300,21.120
127,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6658-4324,2.872,4.491,0.724,3.583,5.625,5.811
128,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6662-4319,13.951,3.404,0.623,2.533,5.222,16.901
129,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7811-2476,66.060,5.239,1.206,3.200,8.667,29.117
130,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8138-2536,2.462,3.041,0.167,2.778,3.222,5.811
131,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8324-2210,13.540,4.453,0.569,3.000,5.455,12.902
132,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5683,13.951,3.652,1.320,1.773,6.500,13.653
133,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8371-4575,7.796,4.881,0.769,3.556,6.250,10.340
134,slice0007_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015443.858,1.061,0.115,0.000,23.000,23728.782
135,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2325-3210,0.410,3.000,0.000,3.000,3.000,1.812
136,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2325-3210,5.334,2.980,0.334,2.333,3.625,9.279
137,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3164-4103,7.796,2.792,0.299,2.100,3.250,9.809
138,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4033-3368,12.309,3.004,0.499,2.071,4.000,13.277
139,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4044-5634,7.796,3.419,0.488,2.750,4.571,9.809
140,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6246-2252,72.215,4.365,0.989,2.118,6.571,31.304
141,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6401-3856,17.233,3.362,0.521,2.118,4.800,15.089
142,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6661-4318,9.437,3.018,0.456,2.429,4.375,14.339
143,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7811-2476,68.522,5.251,1.139,3.000,8.111,31.459
144,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8138-2537,3.283,3.390,0.964,2.091,4.857,6.716
145,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8324-2211,11.078,4.503,0.536,3.727,6.143,12.527
146,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5683,3.283,2.779,0.437,2.333,3.583,5.811
147,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8370-4575,7.386,4.871,0.588,3.800,6.000,9.434
148,slice0008_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015444.678,1.064,0.115,0.000,19.000,23728.782
149,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2321-3211,0.410,2.600,0.000,2.600,2.600,1.812
150,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2324-3210,6.565,2.909,0.230,2.500,3.250,9.809
