 ,Label,Area,Mean,StdDev,Min,Max,Perim.
191,slice0005_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09907-07481,20.516,4.659,1.081,2.700,7.727,16.370
192,slice0005_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086231.549,1.049,0.111,0.000,14.471,28567.547
193,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04330-01577,28.312,3.830,0.557,2.231,5.000,19.088
194,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04596-01626,27.491,4.624,1.321,2.500,8.062,19.463
195,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04766-04004,0.410,3.700,0.000,3.700,3.700,2.562
196,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04767-04002,6.155,3.391,0.270,3.000,3.800,9.809
197,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05452-08547,18.874,4.940,1.002,3.200,6.700,15.464
198,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05515-01584,1.231,2.699,0.271,2.400,2.929,3.624
199,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05598-05038,0.410,4.200,0.000,4.200,4.200,2.562
200,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05600-05039,0.410,4.875,0.000,4.875,4.875,2.562
201,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05713-02693,66.881,4.235,0.643,2.056,6.000,30.398
202,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05974-04510,10.668,2.874,0.503,2.000,4.091,12.527
203,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06805-05369,7.386,2.870,0.729,1.480,4.444,10.715
204,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06808-05361,1.641,3.109,0.502,2.588,3.750,4.905
205,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06884-01526,18.874,5.107,1.746,2.286,9.571,15.089
206,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07058-03797,23.798,4.047,1.096,2.087,7.100,18.557
207,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07551-07481,0.410,4.500,0.000,4.500,4.500,2.562
208,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07564-03728,2.052,4.298,0.045,4.222,4.333,4.905
209,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07642-01156,25.850,4.420,1.014,2.750,6.636,18.182
210,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07825-04209,0.821,4.302,0.584,3.889,4.714,3.624
211,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07902-02401,10.258,3.241,0.505,2.444,4.429,11.466
212,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08150-05916,4.924,3.472,0.371,3.000,4.091,8.903
